!!SBtab SBtabVersion=’1.0’	TableName=’K. brasiliensis SBTab Compound Table’	TableType=’Compound’
!ID	!Name	!Identifiers:kegg.compound	!Identifiers:bigg.metabolite	!Identifiers:biocyc	!StructureFormula
sbtabcomp1156	β-ketovaleryl-CoA		j9KMsJaD	CPD__45__13534	C26H38N7O18P3S
sbtabcomp1157	O-ureidohomoserine		IZz7lpYL	O__45__UREIDOHOMOSERINE	C5H11N3O4
sbtabcomp1158	a non glycosylated sugar acceptor		CEkT622u	Non__45__Glycosylated__45__sugar__45__Acceptors	
sbtabcomp1159	a citryl-[holo citrate lyase acyl-carrier protein]		aSKHDDhH	Citrate__45__Lyase__45__Citryl__45__Form	
sbtabcomp1160	a holo citrate-lyase		bITg9BaP	CPD__45__15860	
sbtabcomp1161	phytenate		mzTn1KBu	CPD__45__14927	C20H37O2
sbtabcomp1162	phytenoyl-CoA		PGJZIKCH	CPD__45__14928	C41H68N7O17P3S
sbtabcomp1163	blank_description		AXLswuyP	POLYMER__45__INST__45__CPD66__45__39__45__C2__45__H4	C6H11O2
sbtabcomp1164	blank_description		uiQu7sol	POLYMER__45__INST__45__CPD66__45__39__45__C10__45__WATER	C14H27O2
sbtabcomp1165	blank_description		X1LVOo3u	POLYMER__45__INST__45__CPD66__45__39__45__C16__45__H32	C20H39O2
sbtabcomp1166	an odd numbered straight chain 2,3,4-saturated fatty acid		peddDhaC	Odd__45__Straight__45__Chain__45__234__45__Sat__45__FA	
sbtabcomp1167	an odd numbered straight chain 2,3,4-saturated fatty acyl CoA		VWLvJc6f	Odd__45__Saturated__45__Fatty__45__Acyl__45__CoA	
sbtabcomp1168	a 3-methyl-branched 2,3,4-saturated fatty acid		FAhOAxIh	_3__45__Methyl__45__Saturated__45__Fatty__45__Acids	
sbtabcomp1169	a 3-methyl-branched 2,3,4-saturated fatty acyl-CoA		GgOPgbeJ	_3__45__Methyl__45__Saturated__45__Fatty__45__Acyl__45__CoA	
sbtabcomp1170	(15Z)-tetracosenoate		Jc3gZFQw	CPD__45__14268	C24H45O2
sbtabcomp1171	PRISTANATE		UzMB4nIX	PRISTANATE	C19H37O2
sbtabcomp1172	pristanoyl-CoA		4jbUfrA4	CPD__45__14675	C40H68N7O17P3S
sbtabcomp1173	blank_description		jlfs9I5O	ETF__45__Reduced	
sbtabcomp1174	Hexadecanedioyl-CoA		4ogvcaKA	CPD__45__14772	C37H59N7O19P3S
sbtabcomp1175	1-C16:0-α,ω-dicarboxyl-2-lysophosphatidate		JRvvT9og	CPD__45__14828	C19H34O9P
sbtabcomp1176	a 1,2-diacyl-sn-glycerol 3-phosphate		fYBDi845	_2__45__3__45__4__45__Saturated__45__L__45__Phosphatidates	
sbtabcomp1177	a CDP-2,3,4-saturated-diacylglycerol		IF3TfUNF	CDP__45__2__45__3__45__4__45__Saturated__45__Diacylglycerols	
sbtabcomp1178	Glc3Man9GlcNAc2		HHT2zFe9	CPD__45__13936	C87H146N2O72
sbtabcomp1179	Glc2Man9GlcNAc2		af8pdhXz	CPD__45__13937	C81H136N2O67
sbtabcomp1180	keto-L-sorbose		t4nBoW2C	CPD__45__15616	C6H12O6
sbtabcomp1181	keto-D-fructose		pvHhrfvK	CPD__45__15382	C6H12O6
sbtabcomp1182	4α-carboxy-5α-cholesta-8,24-dien-3β-ol		dW4rslcD	CPD__45__4702	C28H43O3
sbtabcomp1183	4α-carboxy-5α-cholesta-8-en-3β-ol		phATjYwo	CPD__45__8619	C28H45O3
sbtabcomp1184	4α-carboxy-4β-methyl-5α-cholesta-8-en-3β-ol		Bw9L9kb6	CPD__45__8613	C29H47O3
sbtabcomp1185	an N-terminal L-glutamyl-[protein]		cbpRGema	L__45__Glutamyl__45__Peptides	
sbtabcomp1186	N-acetylglutaminylglutamine		MDRN5ttg	CPD__45__14437	C12H19N4O6
sbtabcomp1187	N-acetylglutaminylglutamine amide		GHEstB9s	CPD__45__14436	C12H21N5O5
sbtabcomp1188	5α-cholesta-8,24-dien-3-one		Fjy4zvPm	CPD__45__4581	C27H42O
sbtabcomp1189	5α-cholesta-8-en-3-one		T6MvG5yO	CPD__45__8620	C27H44O
sbtabcomp1190	2,5-Diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one	C18910	NzUsOg22		C9H18N5O8P
sbtabcomp1191	blank_description		2f23pCPa	BCCP__45__monomers	
sbtabcomp1192	blank_description		EwCria1o	BCCP__45__biotin__45__monomers	
sbtabcomp1193	blank_description		xupYARp4	Glycerol__45__1__45__ehosphate	C3H7O6P
sbtabcomp1194	2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA	C20062	suAWlS9T		C29H42N7O18P3S
sbtabcomp1195	2-Oxepin-2(3H)-ylideneacetyl-CoA	C19975	sEPFyngm		C29H42N7O18P3S
sbtabcomp1196	3-oxo-5,6-didehydrosuberyl-CoA		RyfbmeFX	CPD0__45__2364	C29H39N7O20P3S
sbtabcomp1197	blank_description		uvO9AENL	Carboxybiotin__45__BCCP	
sbtabcomp1198	blank_description		wzf9rqdo	BCCP__45__dimers	
sbtabcomp1199	a long-chain (3S)-3-hydroxyacyl-CoA		DEiDjkX2	Long__45__Chain__45__3S__45__Hydroxyacyl__45__CoAs	
sbtabcomp1200	a long-chain trans-2,3-dehydroacyl-CoA		RUUFPmjZ	Long__45__Chain__45__Trans__45__23__45__Dehydroacyl__45__CoA	
sbtabcomp1201	icosapentaenoyl-CoA		mNr5FcSG	CPD__45__14018	C41H60N7O17P3S
sbtabcomp1202	a [protein]-3-O-(β-D-GlcA-(1→3)-β-D-Gal-(1→3)-β-D-Gal-(1→4)-β-D-Xyl)-L-serine		jSGLQh7p	GlcA__45__Gal__45__Gal__45__Xyl__45__Proteins	
sbtabcomp1203	(S)-3-hydroxy-(5Z)-tetradecenoyl-CoA		NPPUwvDM	CPD0__45__1163	C35H56N7O18P3S
sbtabcomp1204	3-oxo-(5Z)-tetradecenoyl-CoA		vXoBHi59	CPD__45__15244	C35H54N7O18P3S
sbtabcomp1205	L-xylo-3-hexulose		T6uu1HD7	CPD__45__13036	C6H12O6
sbtabcomp1206	an odd numbered straight chain 2,3,4-saturated fatty aldehyde		f6wpuuLg	Odd__45__Straight__45__Chain__45__234__45__Sat__45__FALD	
sbtabcomp1207	3-hexaprenyl-4-aminobenzoate		gk8NVMxP	CPD__45__15190	C37H54NO2
sbtabcomp1208	3-hexaprenyl-4-amino-5-hydroxybenzoate		oGF3o2vs	CPD__45__15191	C37H54NO3
sbtabcomp1209	methyl (indol-3-yl)acetate	C20635	56unfZBo		C11H11NO2
sbtabcomp1210	salicyl-6-hydroxy-2-cyclohexene-on-oyl		28y78CN3	CPD__45__13174	C14H14O5
sbtabcomp1211	6-hydroxy-2-cyclohexen-one-carboxylate		PAEzIygB	CPD__45__13172	C7H7O4
sbtabcomp1212	perillate		AFn2doyK	CPD__45__12443	C10H13O2
sbtabcomp1213	Methyl jasmonate	C11512	vFTQb7jF		C13H20O3
sbtabcomp1214	Jasmonic acid	C08491	nO8RvshH		C12H18O3
sbtabcomp1215	a type 2 histo-blood group antigen precursor disaccharide		ZAh9Dnh7	B__45__Gal__45__14__45__NacGlc__45__R	
sbtabcomp1216	3-dimethylsulfoniopropionaldehyde		HPNrOrro	CPD__45__10472	C5H11OS
sbtabcomp1217	a 2-methyl branched 2,3,4-saturated fatty aldehyde		bMelJb84	_2__45__Me__45__Branched__45__234__45__Sat__45__FALD	
sbtabcomp1218	a 2-methyl branched 2,3,4-saturated fatty acid		m3iz7VhA	_2__45__Me__45__Branched__45__234__45__Sat__45__FA	
sbtabcomp1219	a 2,3,4-saturated fatty acyl CoA		pbUBZmln	Saturated__45__Fatty__45__Acyl__45__CoA	
sbtabcomp1220	1,2-dibutyrin		gkpCwjhH	CPD__45__13040	C11H20O5
sbtabcomp1221	a dietary all-trans-retinyl ester		KPpMyrwV	Dietary__45__retinyl__45__esters	
sbtabcomp1222	4-nitrobenzyl alcohol		vNdVFasm	CPD__45__702	C7H7NO3
sbtabcomp1223	4-nitrobenzaldehyde		vOOfO7Vw	CPD__45__703	C7H5NO3
sbtabcomp1224	D-ribulose 1-phosphate		LPUcrFmK	D__45__RIBULOSE__45__1__45__P	C5H9O8P
sbtabcomp1225	1,2-dipalmitoyl-phosphatidylcholine		E6KLHV9f	_1__45__2__45__DIPALMITOYLPHOSPHATIDYLCHOLINE	C40H80NO8P
sbtabcomp1226	(25R)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA	C17345	4Iordxdz		C48H80N7O19P3S
sbtabcomp1227	an N-acetyl-β-D-hexosaminide		T977LFm5	N__45__Acetyl__45__beta__45__D__45__Hexosaminides	
sbtabcomp1228	an N-acetyl-β-D-hexosamine		XgQ3GzxC	N__45__acetyl__45__beta__45__D__45__hexosamines	C8H15NO6
sbtabcomp1229	a 3-oxo-hexanoyl-[acyl-carrier protein]		2ZW4oWQk	_3__45__oxo__45__hexanoyl__45__ACPs	
sbtabcomp1230	a (3R)-3-hydroxyhexanoyl-[acp]		gyvSUXl1	R__45__3__45__hydroxyhexanoyl__45__ACPs	
sbtabcomp1231	an Fe(II)-siderophore		6y3NSKZT	Fe2__45__siderophores	
sbtabcomp1232	a (3R)-3-hydroxybutanoyl-[acp]		DLzvwJu5	Beta__45__3__45__hydroxybutyryl__45__ACPs	
sbtabcomp1233	an α-D-galactoside		cYrQqXGk	Alpha__45__D__45__Galactosides	
sbtabcomp1234	Non-Galactosylated-Galactose-Acceptors		H3TJuUKW	Non__45__Galactosylated__45__Galactose__45__Acceptors	
sbtabcomp1235	a 3-oxo-dodecanoyl-[acp]		3DCHMLvm	_3__45__oxo__45__dodecanoyl__45__ACPs	
sbtabcomp1236	a (3R)-3-hydroxydodecanoyl-[acp]		ssHhwwFE	R__45__3__45__hydroxydodecanoyl__45__ACPs	
sbtabcomp1237	a 3-oxo-decanoyl-[acp]		zWRoj3HA	_3__45__oxo__45__decanoyl__45__ACPs	
sbtabcomp1238	a (3R)-3-hydroxydecanoyl-[acp]		dy3rHrVv	Beta__45__hydroxydecanoyl__45__ACPs	
sbtabcomp1239	a 3-oxo-octanoyl-[acp]		D3oqWbIq	_3__45__Oxo__45__octanoyl__45__ACPs	
sbtabcomp1240	a (3R)-3-hydroxyoctanoyl-[acp]		xCewJYeS	_3__45__Hydroxy__45__octanoyl__45__ACPs	
sbtabcomp1241	a 3-oxo-myristoyl-[acp]		AJDsUMI6	_3__45__oxo__45__myristoyl__45__ACPs	
sbtabcomp1242	a (3R)-3-hydroxymyristoyl-[acp]		i64sPkbJ	R__45__3__45__hydroxymyristoyl__45__ACPs	
sbtabcomp1243	nicotine-1'-N-oxide		NMChsAqN	CPD__45__2743	C10H14N2O
sbtabcomp1244	blank_description		pzL1FnbV	_3__45__oxo__45__ealmitoyl__45__ACPs	
sbtabcomp1245	a (3R)-3-hydroxy-docosapentaenoyl-[acp]		JswbATZV	_3__45__HYDROXY__45__DOCOSAPENTAENOYL__45__ACP	
sbtabcomp1246	blank_description		VfZi4cBE	_3__45__OXO__45__EICOSAPENTAENOYL__45__ACP	
sbtabcomp1247	a (2R)-2-hydroxy even numbered straight chain 2,3,4-saturated fatty acid		8N66UNQe	R2OH__45__Straight__45__Chain__45__234__45__Sat__45__FA	
sbtabcomp1248	a (R)-2-hydroxy even numbered straight chain 2,3,4-saturated fatty acyl CoA		4hAEh5Eh	R2__45__2OH__45__Straight__45__Chain__45__234__45__Sat__45__FA__45__CoA	
sbtabcomp1249	a [ubiquitin] C-terminal glycine		3QtRJYtf	Ubiquitin__45__C__45__Terminal__45__Glycine	
sbtabcomp1250	15,15'-dihydroxy-β-carotene		OediKVIP	CPD__45__14387	C40H58O2
sbtabcomp1251	β-carotene 15,15' epoxide		rSNDWQH8	CPD__45__14386	C40H56O
sbtabcomp1252	D-myo-inositol (1,2,3,5,6) pentakisphosphate		bF5Z5AoW	CPD__45__6741	C6H7O21P5
sbtabcomp1253	4-methylumbelliferyl glucoside		tXzpHUns	CPD__45__11641	C16H18O8
sbtabcomp1254	trans-arachido-2-enoyl-CoA		ZbiCGDnI	CPD__45__14280	C41H68N7O17P3S
sbtabcomp1255	trans-lesqueroloyl-CoA		UpOvL2SA	CPD__45__15370	C41H66N7O18P3S
sbtabcomp1256	lesqueroloyl-CoA		58AzWDMT	CPD__45__15366	C41H68N7O18P3S
sbtabcomp1257	(2E,11Z)-icosa-2,11-dienoyl-CoA		kwwZa4dQ	CPD__45__15362	C41H66N7O17P3S
sbtabcomp1258	(2R)-2-hydroxy-2-methylbutanenitrile		2EfHPIrL	CPD__45__12699	C5H9NO
sbtabcomp1259	trans-docos-2-enoyl-CoA		EJO1y75S	CPD__45__14281	C43H72N7O17P3S
sbtabcomp1260	Docosanoyl-CoA	C16528	uV86Dkmn		C43H78N7O17P3S
sbtabcomp1261	trans-lignocer-2-enoyl-CoA		fAhbB6ib	CPD__45__14282	C45H76N7O17P3S
sbtabcomp1262	Tetracosanoyl-CoA	C16529	PriVfFSN		C45H82N7O17P3S
sbtabcomp1263	trans-cerot-2-enoyl-CoA		43kgbcCn	CPD__45__14283	C47H80N7O17P3S
sbtabcomp1264	Cerotoyl-CoA		kWRaQFIZ	CPD1G__45__277	C47H82N7O17P3S
sbtabcomp1265	Beta-D-Glucoside	C00963	ddvnfCQG		C6H11O6R
sbtabcomp1266	a non glucosylated D-glucose acceptor		Uy4JwJBS	Non__45__Glucosylated__45__Glucose__45__Acceptors	
sbtabcomp1267	a (1'-hydroxy-3',5'-dioxo-2'-(3''-oxobutanoyl)cyclohexyl)-3,5-dioxohexanethioate-[PKS-acp]		PIHYMLUT	Actinorhodin__45__Intermediate__45__1	
sbtabcomp1268	9-hydroxy-3,5,7,11,13,15-hexaoxohexadecanoyl-[PKS-acp]		Zc2zSHDe	Actinorhodin__45__Intermediate__45__2	
sbtabcomp1269	(3R)-3-hydroxy-cerotoyl-CoA		f1vzSbMF	CPD__45__14278	C47H82N7O18P3S
sbtabcomp1270	(3R)-3-hydroxy-lignoceroyl-CoA		kKS58Vr2	CPD__45__14277	C45H78N7O18P3S
sbtabcomp1271	(3R)-3-hydroxy-behenoyl-CoA		JEF7Fteq	CPD__45__14276	C43H74N7O18P3S
sbtabcomp1272	a [protein]-(L-serine/L-threonine)		A9LEJa8u	Protein__45__L__45__serine__45__or__45__L__45__threonine	
sbtabcomp1273	Unavaiable		rpM93bIK	Protein__45__Ser__45__or__45__Thr__45__ehosphate	
sbtabcomp1274	a uridine38-40 in tRNA		FAOFySeR	tRNA__45__uridine__45__38__45__40	
sbtabcomp1275	an [eIF5A-precursor]-N-(4-aminobutylidene)-lysine		rYYUSbZo	N__45__4__45__aminobutylidene__45__eIF5A__45__lysine	
sbtabcomp1276	a [deoxyhypusine synthase]-N-(4-aminobutylidene)-lysine		KvJHLfTO	N__45__4__45__aminobutylidene__45__enzyme__45__lysine	
sbtabcomp1277	a [deoxyhypusine synthase]-L-lysine		jARgtuO9	Deoxyhypusine__45__Synthase__45__Lysine	
sbtabcomp1278	a protein L-serine phosphate		jHLwJCvk	Protein__45__Phosphoserines	
sbtabcomp1279	a [protein]-L-threonine		HRgfdeAL	Proteins__45__L__45__Threonines	
sbtabcomp1280	a [protein] L-threonine phosphate		I9RuW5Ik	Protein__45__Phosphothreonines	
sbtabcomp1281	N,N',N''-triacetylchitotriose		ZpCxjjAY	CPD__45__13227	C24H41N3O16
sbtabcomp1282	ethylphosphate		CqRftrX4	CPD__45__8978	C2H5O4P
sbtabcomp1283	2,6-dioxo-6-phenylhexa-3-enoate		y8e6Y82k	CPD__45__14298	C12H9O4
sbtabcomp1284	a 1,2-diglyceride		12dag_cho	_1__45__2__45__Diglycerides	
sbtabcomp1285	isobutanal		AfwuPsb1	CPD__45__7000	C4H8O
sbtabcomp1286	2-methylbutanol		KLQRwTsv	CPD__45__7033	C5H12O
sbtabcomp1287	indole-3-glycol		bsnnsFjK	INDOLE__45__3__45__GLYCOL	C10H11NO2
sbtabcomp1288	3-methylthiopropanal		iSWkHWJC	CPD__45__7036	C4H8OS
sbtabcomp1289	methionol		HBoruMAO	CPD__45__7037	C4H10OS
sbtabcomp1290	5-hydroxytryptophol		kzt78PVM	CPD__45__11671	C10H11NO2
sbtabcomp1291	4α-formyl-5α-cholesta-8-en-3β-ol		oYckGX4U	CPD__45__8618	C28H46O2
sbtabcomp1292	4α-hydroxymethyl-5α-cholesta-8-en-3β-ol		1CQPdpKq	CPD__45__8617	C28H48O2
sbtabcomp1293	phytenal		mHgXK9nm	CPD__45__14926	C20H38O
sbtabcomp1294	4α-methyl-5α-cholesta-8-en-3-one		xZp4CALy	CPD__45__8614	C28H46O
sbtabcomp1295	4α-formyl-4β-methyl-5α-cholesta-8-en-3β-ol		ybOmPKfL	CPD__45__8612	C29H48O2
sbtabcomp1296	4α-hydroxymethyl-4β-methyl-5α-cholesta-8-en-3β-ol		d4nHNWqu	CPD__45__8611	C29H50O2
sbtabcomp1297	Jasmonoyl-CoA		SU23hSzo	CPD__45__11529	C33H48N7O18P3S
sbtabcomp1298	3-cis, 5-trans-dodecadienoyl-CoA		8bS4DdVm	CPD__45__15688	C33H50N7O17P3S
sbtabcomp1299	4α-formyl-5α-cholesta-8,24-dien-3β-ol		1cvohqml	CPD__45__4580	C28H44O2
sbtabcomp1300	4α-hydroxymethyl-5α-cholesta-8,24-dien-3β-ol		etT6BpaQ	CPD__45__4579	C28H46O2
sbtabcomp1301	4α-formyl-4β-methyl-5α-cholesta-8,24-dien-3β-ol		4Af4Bm5Ac824d3Bol	CPD__45__4576	C29H46O2
sbtabcomp1302	4α-hydroxymethyl-4β-methyl-5α-cholesta-8,24-dien-3β-ol		4Ahm4Bm5Ac824d3Bol	CPD__45__4575	C29H48O2
sbtabcomp1303	3-trans-decenoyl-CoA		3trdececoa	CPD__45__15692	C31H48N7O17P3S
sbtabcomp1304	3-oxo-4-pregnene-20-carboxyl-CoA		3oxo4preg20ccoa	CPD__45__13700	C43H62N7O18P3S
sbtabcomp1305	3,22-dioxochol-4-en-24-oyl-CoA		322dioxochol4en24coa	CPD__45__13699	C45H64N7O19P3S
sbtabcomp1306	LysW-L-ornithine	C20951	lysWLorn		C10H18N3O5R
sbtabcomp1307	LysW-L-glutamate 5-semialdehyde	C20950	lysWLglu5smald		C10H15N2O6R
sbtabcomp1308	3-oxo-behenoyl-CoA		3oxobhcoa	CPD__45__10283	C43H72N7O18P3S
sbtabcomp1309	Fluoroacetate	C06108	flac		C2H3FO2
sbtabcomp1310	D,L-malic semialdehyde		Dlmlcsmald	CPD__45__5682	C4H5O4
sbtabcomp1311	2-carboxy-cerotoyl-CoA		2carbcercoa	CPD1G__45__332	C48H81N7O19P3S
sbtabcomp1312	aldehydo-D-mannose		aldDman	CPD__45__15373	C6H12O6
sbtabcomp1313	4-chlorosalicylate		4chlosalc	CPD__45__10576	C7H4O3Cl
sbtabcomp1314	5-methylsalicylate		5metsalc	CPD__45__10664	C8H7O3
sbtabcomp1315	5-chlorosalicylate		5chlosalc	CPD__45__10663	C7H4O3Cl
sbtabcomp1316	alpha-D-ribofuranose		aDrbfur	CPD__45__10330	C5H10O5
sbtabcomp1317	blank_description		HC9Nr5ko	BIOMASS	
sbtabcomp1318	Nitrite	C00088	no2		HNO2
sbtabcomp1319	Nitrate	C00244	no3		HNO3
sbtabcomp1320	Oxygen	C00007	o2		O2
sbtabcomp1321	O2.-	C00704	o2s		O2
sbtabcomp1322	Oxaloacetate	C00036	oaa		C4H4O5
sbtabcomp1323	trans-Oct-2-enoyl-CoA	C05276	oc2coa		C29H48N7O17P3S
sbtabcomp1324	Octanoyl-[acp]	C05752	ocACP		C8H15OSR
sbtabcomp1325	Octanoyl-CoA	C01944	occoa		C29H50N7O17P3S
sbtabcomp1326	Octadecanoic acid	C01530	ocdca		C18H36O2
sbtabcomp1327	Oleoyl-CoA	C00510	ocdce9coa		C39H68N7O17P3S
sbtabcomp1328	(9Z)-Octadecenoic acid	C00712	ocdcea		C18H34O2
sbtabcomp1329	Octanoic acid	C06423	octa		C8H16O2
sbtabcomp1330	all-trans-Octaprenyl diphosphate	C04146	octdp		C40H68O7P2
sbtabcomp1331	(2E)-Octadecenoyl-CoA	C16218	od2coa		C39H68N7O17P3S
sbtabcomp1332	2-Hydroxy-2,4-pentadienoate	C00596	op4en		C5H6O3
sbtabcomp1333	L-Ornithine	C00077	orn		C5H12N2O2
sbtabcomp1334	Orotate	C00295	orot		C5H4N2O4
sbtabcomp1335	Orotidine 5'-phosphate	C01103	orot5p		C10H13N2O11P
sbtabcomp1336	3-Oxoadipyl-CoA	C02232	oxadpcoa		C27H42N7O20P3S
sbtabcomp1337	Oxaloglutarate	C05533	oxag		C7H8O7
sbtabcomp1338	Phenylacetic acid	C07086	pac		C8H8O2
sbtabcomp1339	Phenylacetaldehyde	C00601	pacald		C8H8O
sbtabcomp1340	2-Phenylacetamide	C02505	pad		C8H9NO
sbtabcomp1341	Pantetheine 4'-phosphate	C01134	pan4p		C11H23N2O7PS
sbtabcomp1342	(R)-Pantoate	C00522	pant__R		C6H12O4
sbtabcomp1343	Adenosine 3',5'-bisphosphate	C00054	pap		C10H15N5O10P2
sbtabcomp1344	3'-Phosphoadenylyl sulfate	C00053	paps		C10H15N5O13P2S
sbtabcomp1345	Pyridoxine phosphate	C00627	pdx5p		C8H12NO6P
sbtabcomp1346	Phenethylamine	C05332	peamn		C8H11N
sbtabcomp1347	Phosphoenolpyruvate	C00074	pep		C3H5O6P
sbtabcomp1348	Peptide	C00012	pepd		C2H4NO2R(C2H2NOR)n
sbtabcomp1349	Protein lysine	C02188	peplys		C7H13N3O2R2
sbtabcomp1350	Phosphatidylglycerophosphate	C03892	pgp_EC		C8H14O13P2R2
sbtabcomp1351	L-Phenylalanine	C00079	phe__L		C9H11NO2
sbtabcomp1352	Heme	C00032	pheme		C34H32FeN4O4
sbtabcomp1353	Phenol	C00146	bznol		C6H6O
sbtabcomp1354	Phenol	C15584	phenol		C6H6O
sbtabcomp1355	L-Phenylalanyl-tRNA(Phe)	C03511	phetrna		C19H26NO11PR2(C5H8O6PR)n
sbtabcomp1356	O-Phospho-L-homoserine	C01102	phom		C4H10NO6P
sbtabcomp1357	Phenylpyruvate	C00166	phpyr		C9H8O3
sbtabcomp1358	Phytol	C01389	phytol		C20H40O
sbtabcomp1359	Orthophosphate	C00009	pi		H3PO4
sbtabcomp1360	Pimeloyl-[acyl-carrier protein]	C19845	pimACP		C7H11O3SR
sbtabcomp1361	6-Carboxyhexanoyl-CoA	C01063	pmcoa		C28H46N7O19P3S
sbtabcomp1362	Palmitoyl-CoA	C00154	pmtcoa		C37H66N7O17P3S
sbtabcomp1363	Pantothenate	C00864	pnto__R		C9H17NO5
sbtabcomp1364	Propenoyl-CoA	C00894	pp2coa		C24H38N7O17P3S
sbtabcomp1365	Propanoate	C00163	ppa		C3H6O2
sbtabcomp1366	Propanal	C00479	ppal		C3H6O
sbtabcomp1367	Porphobilinogen	C00931	ppbng		C10H14N2O4
sbtabcomp1368	Propanoyl-CoA	C00100	ppcoa		C24H40N7O17P3S
sbtabcomp1369	Prephenate	C00254	pphn		C10H10O6
sbtabcomp1370	Diphosphate	C00013	ppi		H4P2O7
sbtabcomp1371	Propane-1-ol	C05979	ppoh		C3H8O
sbtabcomp1372	Protoporphyrin	C02191	ppp9		C34H34N4O4
sbtabcomp1373	Protoporphyrinogen IX	C01079	pppg9		C34H40N4O4
sbtabcomp1374	Triphosphate	C00536	pppi		H5P3O10
sbtabcomp1375	5-Phosphoribosylamine	C03090	pram		C5H12NO7P
sbtabcomp1376	N-(5-Phospho-D-ribosyl)anthranilate	C04302	pran		C12H16NO9P
sbtabcomp1377	Phosphoribosyl-AMP	C02741	prbamp		C15H23N5O14P2
sbtabcomp1378	1-(5-Phospho-D-ribosyl)-ATP	C02739	prbatp		C15H25N5O20P4
sbtabcomp1379	Prephytoene diphosphate	C03427	prephytedp		C40H68O7P2
sbtabcomp1380	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	C04896	prfp		C15H25N5O15P2
sbtabcomp1381	Progesterone	C00410	prgstrn		C21H30O2
sbtabcomp1382	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	C04916	prlp		C15H25N5O15P2
sbtabcomp1383	L-Proline	C00148	pro__L		C5H9NO2
sbtabcomp1384	L-Prolyl-tRNA(Pro)	C02702	protrna		C15H24NO11PR2(C5H8O6PR)n
sbtabcomp1385	5-Phospho-alpha-D-ribose 1-diphosphate	C00119	prpp		C5H13O14P3
sbtabcomp1386	O-Phospho-L-serine	C01005	pser__L		C3H8NO6P
sbtabcomp1387	Presqualene diphosphate	C03428	psqldp		C30H52O7P2
sbtabcomp1388	Phosphatidyl-N-dimethylethanolamine	C04308	ptd2meeta_SC		C9H16NO8PR2
sbtabcomp1389	Putrescine	C00134	ptrc		C4H12N2
sbtabcomp1390	Pyridoxamine phosphate	C00647	pyam5p		C8H13N2O5P
sbtabcomp1391	Pyridoxamine	C00534	pydam		C8H12N2O2
sbtabcomp1392	Pyridoxal	C00250	pydx		C8H9NO3
sbtabcomp1393	Pyridoxal phosphate	C00018	pydx5p		C8H10NO6P
sbtabcomp1394	Pyridoxine	C00314	pydxn		C8H11NO3
sbtabcomp1395	Perillyl aldehyde	C02576	pylald		C10H14O
sbtabcomp1396	Pyruvate	C00022	pyr		C3H4O3
sbtabcomp1397	Ubiquinone-6	C17568	q6		C39H58O4
sbtabcomp1398	Quinolinate	C03722	quln		C7H5NO4
sbtabcomp1399	alpha-D-Ribose 1-phosphate	C00620	r1p		C5H11O8P
sbtabcomp1400	Raffinose	C00492	raffin		C18H32O16
sbtabcomp1401	Reduced riboflavin	C01007	rbflvrd		C17H22N4O6
sbtabcomp1402	D-Ribulose	C00309	rbl__D		C5H10O5
sbtabcomp1403	D-Xylulose	C00310	rbl__L,xylu__D		C5H10O5
sbtabcomp1404	Ribitol	C00474	rbt		C5H12O5
sbtabcomp1405	Retinal	C00376	retinal		C20H28O
sbtabcomp1406	Retinol	C00473	retinol		C20H30O
sbtabcomp1407	Retinoate	C00777	retn		C20H28O2
sbtabcomp1408	Riboflavin	C00255	ribflv		C17H20N4O6
sbtabcomp1409	Nicotinamide-beta-riboside	C03150	rnam		C11H15N2O5
sbtabcomp1410	D-Ribulose 5-phosphate	C00199	ru5p__D		C5H11O8P
sbtabcomp1411	[Dihydrolipoyllysine-residue succinyltransferase] S-glutaryldihydrolipoyllysine	C06157	S_gtrdhdlp		C13H22NO4S2R
sbtabcomp1412	Sedoheptulose 1,7-bisphosphate	C00447	s17bp		C7H16O13P2
sbtabcomp1413	Sedoheptulose 7-phosphate	C05382	s7p		C7H15O10P
sbtabcomp1414	N6-(L-1,3-Dicarboxypropyl)-L-lysine	C00449	saccrp__L		C11H20N2O6
sbtabcomp1415	Salicylate	C00805	salc		C7H6O3
sbtabcomp1416	D-Sorbitol	C00794	sbt__D		C6H14O6
sbtabcomp1417	Sirohydrochlorin	C05778	scl		C42H46N4O16
sbtabcomp1418	S-Sulfo-L-cysteine	C05824	scys__L		C3H7NO5S2
sbtabcomp1419	L-Serine	C00065	ser__L		C3H7NO3
sbtabcomp1420	L-Seryl-tRNA(Ser)	C02553	sertrna		C13H22NO12PR2(C5H8O6PR)n
sbtabcomp1421	L-Seryl-tRNA(Sec)	C06481	sertrna_sec		C13H22NO12PR2(C5H8O6PR)n
sbtabcomp1422	S-Formylglutathione	C01031	Sfglutth		C11H17N3O7S
sbtabcomp1423	Shikimate	C00493	skm		C7H10O5
